width,height,x_shift,noise_level,laminar_thickness,laminar_gap,amplitude,thickness_variation
256,46,0.25,0.06666666666666667,4,5,12,0.0
256,55,0.25,0.06666666666666667,4,5,12,0.0
256,64,0.25,0.06666666666666667,4,5,12,0.0
256,73,0.25,0.06666666666666667,4,5,12,0.0
256,32,0.25,0.06666666666666667,4,5,14,0.0
256,41,0.25,0.06666666666666667,4,5,14,0.0
256,50,0.25,0.06666666666666667,4,5,14,0.0
256,59,0.25,0.06666666666666667,4,5,14,0.0
256,68,0.25,0.06666666666666667,4,5,14,0.0
256,77,0.25,0.06666666666666667,4,5,14,0.0
256,36,0.25,0.06666666666666667,4,5,16,0.0
256,45,0.25,0.06666666666666667,4,5,16,0.0
256,54,0.25,0.06666666666666667,4,5,16,0.0
256,63,0.25,0.06666666666666667,4,5,16,0.0
256,72,0.25,0.06666666666666667,4,5,16,0.0
256,81,0.25,0.06666666666666667,4,5,16,0.0
256,40,0.25,0.06666666666666667,4,5,18,0.0
256,49,0.25,0.06666666666666667,4,5,18,0.0
256,58,0.25,0.06666666666666667,4,5,18,0.0
256,67,0.25,0.06666666666666667,4,5,18,0.0
256,76,0.25,0.06666666666666667,4,5,18,0.0
256,85,0.25,0.06666666666666667,4,5,18,0.0
256,44,0.25,0.06666666666666667,4,5,20,0.0
256,53,0.25,0.06666666666666667,4,5,20,0.0
256,62,0.25,0.06666666666666667,4,5,20,0.0
256,71,0.25,0.06666666666666667,4,5,20,0.0
256,80,0.25,0.06666666666666667,4,5,20,0.0
256,89,0.25,0.06666666666666667,4,5,20,0.0
256,9,0.25,0.08333333333333333,5,6,2,0.0
256,20,0.25,0.08333333333333333,5,6,2,0.0
256,31,0.25,0.08333333333333333,5,6,2,0.0
256,42,0.25,0.08333333333333333,5,6,2,0.0
256,53,0.25,0.08333333333333333,5,6,2,0.0
256,64,0.25,0.08333333333333333,5,6,2,0.0
256,13,0.25,0.08333333333333333,5,6,4,0.0
256,24,0.25,0.08333333333333333,5,6,4,0.0
256,35,0.25,0.08333333333333333,5,6,4,0.0
256,46,0.25,0.08333333333333333,5,6,4,0.0
256,57,0.25,0.08333333333333333,5,6,4,0.0
256,68,0.25,0.08333333333333333,5,6,4,0.0
256,17,0.25,0.08333333333333333,5,6,6,0.0
256,28,0.25,0.08333333333333333,5,6,6,0.0
256,39,0.25,0.08333333333333333,5,6,6,0.0
256,50,0.25,0.08333333333333333,5,6,6,0.0
256,61,0.25,0.08333333333333333,5,6,6,0.0
256,72,0.25,0.08333333333333333,5,6,6,0.0
256,21,0.25,0.08333333333333333,5,6,8,0.0
256,32,0.25,0.08333333333333333,5,6,8,0.0
256,43,0.25,0.08333333333333333,5,6,8,0.0
256,54,0.25,0.08333333333333333,5,6,8,0.0
256,65,0.25,0.08333333333333333,5,6,8,0.0
256,76,0.25,0.08333333333333333,5,6,8,0.0
256,25,0.25,0.08333333333333333,5,6,10,0.0
256,36,0.25,0.08333333333333333,5,6,10,0.0
256,47,0.25,0.08333333333333333,5,6,10,0.0
256,58,0.25,0.08333333333333333,5,6,10,0.0
256,69,0.25,0.08333333333333333,5,6,10,0.0
256,80,0.25,0.08333333333333333,5,6,10,0.0
256,29,0.25,0.08333333333333333,5,6,12,0.0
256,40,0.25,0.08333333333333333,5,6,12,0.0
256,51,0.25,0.08333333333333333,5,6,12,0.0
256,62,0.25,0.08333333333333333,5,6,12,0.0
256,73,0.25,0.08333333333333333,5,6,12,0.0
256,84,0.25,0.08333333333333333,5,6,12,0.0
256,33,0.25,0.08333333333333333,5,6,14,0.0
256,44,0.25,0.08333333333333333,5,6,14,0.0
256,55,0.25,0.08333333333333333,5,6,14,0.0
256,66,0.25,0.08333333333333333,5,6,14,0.0
256,77,0.25,0.08333333333333333,5,6,14,0.0
256,88,0.25,0.08333333333333333,5,6,14,0.0
256,37,0.25,0.08333333333333333,5,6,16,0.0
256,48,0.25,0.08333333333333333,5,6,16,0.0
256,59,0.25,0.08333333333333333,5,6,16,0.0
256,70,0.25,0.08333333333333333,5,6,16,0.0
256,81,0.25,0.08333333333333333,5,6,16,0.0
256,92,0.25,0.08333333333333333,5,6,16,0.0
256,41,0.25,0.08333333333333333,5,6,18,0.0
256,52,0.25,0.08333333333333333,5,6,18,0.0
256,63,0.25,0.08333333333333333,5,6,18,0.0
256,74,0.25,0.08333333333333333,5,6,18,0.0
256,85,0.25,0.08333333333333333,5,6,18,0.0
256,96,0.25,0.08333333333333333,5,6,18,0.0
256,45,0.25,0.08333333333333333,5,6,20,0.0
256,56,0.25,0.08333333333333333,5,6,20,0.0
256,67,0.25,0.08333333333333333,5,6,20,0.0
256,78,0.25,0.08333333333333333,5,6,20,0.0
256,89,0.25,0.08333333333333333,5,6,20,0.0
256,100,0.25,0.08333333333333333,5,6,20,0.0
256,10,0.25,0.1,6,7,2,0.0
256,23,0.25,0.1,6,7,2,0.0
